ablation,cols,AUROC_intra_vs_inter,AUPR_intra_vs_inter
tsmi_only,tsmi,0.501575894318976,0.4627280687292415
te_only,te,0.4946213103767637,0.4623552521361951
gc_only,gc,0.509064761914071,0.46682577972366035
tsmi_te,"tsmi,te",0.49802659070137967,0.46513091328002776
tsmi_te_gc,"tsmi,te,gc",0.5041410896774856,0.47016620183474067
krl_only,krl,0.5283531157904512,0.49207407260937697
tsmi_krl,tsmi_krl,0.685500244977054,0.6761838450978348
te_krl,te_krl,0.6103363516624228,0.6192184488735148
gc_krl,gc_krl,0.545509986022257,0.4694107343948488
tsmi_te_krl,"tsmi_krl,te_krl",0.6373342281206777,0.6455206632406056
tsmi_te_gc_krl,"tsmi_krl,te_krl,gc_krl",0.6191351363074322,0.6240188640095846
