metric,gate_low_thr,gate_high_thr,n_low,n_high,mean_low,mean_high,delta_high_minus_low,cliffs_delta,p_perm_mean_diff
tsmi,0.1668865715872203,0.39768483834446916,2396,2469,2.6417534636021176e-05,6.907311592596903e-05,4.265558128994785e-05,0.074902,0.0024937655860349127
te,0.1668865715872203,0.39768483834446916,2396,2469,0.005896459531344236,0.005397469848008193,-0.0004989896833360423,-0.07793,0.0024937655860349127
gc,0.1668865715872203,0.39768483834446916,2396,2469,0.24930376419342606,0.24346893438732825,-0.005834829806097813,-0.046142,0.5561097256857855
tsmi_krl,0.1668865715872203,0.39768483834446916,2396,2469,0.00010371747362427032,0.009373829887861578,0.009270112414237308,0.998954,0.0024937655860349127
te_krl,0.1668865715872203,0.39768483834446916,2396,2469,0.005925013369217147,0.013642788951826914,0.0077177755826097665,0.5731,0.0024937655860349127
gc_krl,0.1668865715872203,0.39768483834446916,2396,2469,0.24845809614159742,0.23084003137340278,-0.017618064768194636,0.17226,0.057356608478802994
krl,0.1668865715872203,0.39768483834446916,2396,2469,0.00912312030165215,0.04673081578767145,0.037607695486019305,0.848194,0.0024937655860349127
dist,0.1668865715872203,0.39768483834446916,2396,2469,83.29182321531785,34.63071843801963,-48.66110477729822,-0.64778,0.0024937655860349127
align,0.1668865715872203,0.39768483834446916,2396,2469,0.004985355129623496,0.06286274266790633,0.05787738753828283,0.542189,0.0024937655860349127
coloc,0.1668865715872203,0.39768483834446916,2396,2469,0.08748249397143387,0.30986127987039286,0.22237878589895899,0.619362,0.0024937655860349127
svar,0.1668865715872203,0.39768483834446916,2396,2469,0.6559306811584128,0.7776148415006537,0.12168416034224094,0.339892,0.0024937655860349127
