day,pair_class,gc,gc_krl
1,inter,0.2375330751043647,0.23506865785931846
1,intra_H,0.2578350365674169,0.23874125596123683
1,intra_S,0.2562444456193664,0.2537135872799415
2,inter,0.25101739594376143,0.24661964241439963
2,intra_H,0.27187448665801495,0.2536211705463992
2,intra_S,0.22249369452542034,0.21705400806459993
3,inter,0.22692713944956894,0.22464882547164694
3,intra_H,0.24464491779329717,0.23269501160513775
3,intra_S,0.26332723869122215,0.258226791349856
4,inter,0.25632411537895805,0.25437947019486085
4,intra_H,0.2666092569743801,0.2550548240252829
4,intra_S,0.21986255819055375,0.21479699102261793
5,inter,0.24521210644266864,0.2427363983829012
5,intra_H,0.2779095299068446,0.26727473832834964
5,intra_S,0.2487839278248612,0.2440384330956899
6,inter,0.23282106808112146,0.2314332700554808
6,intra_H,0.2308935002169969,0.22287074859067948
6,intra_S,0.2431210008368381,0.24078254416311484
