day,pair_class,tsmi,tsmi_krl
1,inter,2.1682124158511892e-05,0.00046006310606225894
1,intra_H,1.7802634568267334e-05,0.004865073837398946
1,intra_S,1.0508556796891747e-05,0.00020378784610363706
2,inter,7.822659775709696e-05,0.003067997925007712
2,intra_H,0.00013746695303439545,0.010094337731738352
2,intra_S,4.75270806051621e-05,0.002202470628388151
3,inter,1.2118717006001645e-05,0.0005462037846313577
3,intra_H,1.533461611432346e-05,0.0025906484310988125
3,intra_S,3.5022036549397217e-06,0.0007985042324436386
4,inter,3.942354498281654e-05,0.0013492892471682115
4,intra_H,5.1249014565178053e-05,0.009352090218536483
4,intra_S,4.204347537680569e-05,0.0016048414723905538
5,inter,5.11845562726654e-05,0.0021103833841316895
5,intra_H,4.864500073446787e-05,0.01047064608186497
5,intra_S,3.776793669937814e-05,0.0014081319091639297
6,inter,5.82051679474451e-05,0.002113941193274706
6,intra_H,8.831333057882119e-05,0.012023628806554052
6,intra_S,3.3280420178534056e-05,0.0019605470615360874
