day,pair_class,te
1,inter,0.005552292293722092
1,intra_H,0.0047732779299507885
1,intra_S,0.006107063976095115
2,inter,0.004947465350188018
2,intra_H,0.0038111320750890496
2,intra_S,0.006827748623963964
3,inter,0.00542292302579055
3,intra_H,0.0036876792574473756
3,intra_S,0.007115395922895659
4,inter,0.005856917040913084
4,intra_H,0.005783516849415814
4,intra_S,0.006520019172100516
5,inter,0.006502252803362112
5,intra_H,0.007004106915514786
5,intra_S,0.006463839161239355
6,inter,0.006827379396747843
6,intra_H,0.006448558264311972
6,intra_S,0.006244632873531702
