day,pair_class,tsmi_krl
1,inter,0.00046006310606225894
1,intra_H,0.004865073837398946
1,intra_S,0.00020378784610363706
2,inter,0.003067997925007712
2,intra_H,0.010094337731738352
2,intra_S,0.002202470628388151
3,inter,0.0005462037846313577
3,intra_H,0.0025906484310988125
3,intra_S,0.0007985042324436386
4,inter,0.0013492892471682115
4,intra_H,0.009352090218536483
4,intra_S,0.0016048414723905538
5,inter,0.0021103833841316895
5,intra_H,0.01047064608186497
5,intra_S,0.0014081319091639297
6,inter,0.002113941193274706
6,intra_H,0.012023628806554052
6,intra_S,0.0019605470615360874
