ablation,auc_edge,aupr_edge,top1_window_acc
krlflow_only,0.6449676823638042,0.6300376409735469,0.6929824561403509
tsmi_only,0.5435133887349953,0.5260733065121586,0.22807017543859648
te_only,0.5828331794398276,0.5600007850634747,0.40350877192982454
gc_only,0.6120344721452755,0.5786487855880404,0.45614035087719296
tsmi_plus_krl,0.5590181594336718,0.5616223999078378,0.5701754385964912
te_plus_krl,0.5868728839642968,0.625745762411523,0.631578947368421
gc_plus_krl,0.5901046475838719,0.5995328989453192,0.631578947368421
tsmi_te,0.6449676823638042,0.6300376409735469,0.6929824561403509
tsmi_te_plus_krl,0.6006463527239151,0.6170218839897417,0.6578947368421053
